Sub_Divison,Sector,Sector_Population
Daryaganj,Central Delhi,"5,78,671"
Paharganj,Central Delhi,"5,78,671"
Karol Bagh,Central Delhi,"5,78,671"
Sadar Bazar, North Delhi ,"8,83,418"
Kotwali, North Delhi ,"8,83,418"
Civil Lines , North Delhi ,"8,83,418"
 Kalkaji,South Delhi,"27,33,752"
Defense Colony,South Delhi,"27,33,752"
Hauz Khas,South Delhi,"27,33,752"
Gandhi Nagar, East Delhi,"17,07,725"
Preet Vihar, East Delhi,"17,07,725"
Vivek Vihar, East Delhi,"17,07,725"
 Shahdara,North East Delhi,"22,40,749"
Naveen Shadara,North East Delhi,"22,40,749"
Rohtash Nagar  ,North East Delhi,"22,40,749"
 Vasant Vihar,South West Delhi,"22,92,363"
Najafgarh,South West Delhi,"22,92,363"
Delhi Cantonment,South West Delhi,"22,92,363"
 Connaught Place, New Delhi,"1,33,713"
Parliament Street, New Delhi,"1,33,713"
Chanakyapuri , New Delhi,"1,33,713"
 Saraswati Vihar,North West Delhi ,"36,51,261"
Narela,North West Delhi ,"36,51,261"
Model Town,North West Delhi ,"36,51,261"
Patel Nagar,West Delhi,"25,31,583"
Punjabi Bagh,West Delhi,"25,31,583"
Rajouri Garden,West Delhi,"25,31,583"
